id,authors,author_id,title,tags,doc_type,publisher,venue_name,venue_ID
1091,Makoto Satoh,2312688602,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Ryo Muramatsu,2482909946,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Mizue Kayama,2128134587,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Kazunori Itoh,2101782692,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Masami Hashimoto,2114054191,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Makoto Otani,1989208940,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Michio Shimizu,2134989941,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1091,Masahiko Sugimoto,2307479915,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Telecommunications network,Computer science,Mind map,Human–computer interaction,Multimedia,Empirical research,Comprehension,Communications protocol",Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction,1127419992.0
1674,G. Beale,2103626414,A methodology for the physically accurate visualisation of roman polychrome statuary,"Statue,Engineering drawing,Virtual reconstruction,Computer science,Visualization,Polychrome,Artificial intelligence",Conference,Eurographics Association,International Conference on Virtual Reality,2754954274.0
1674,G. Earl,2117665592,A methodology for the physically accurate visualisation of roman polychrome statuary,"Statue,Engineering drawing,Virtual reconstruction,Computer science,Visualization,Polychrome,Artificial intelligence",Conference,Eurographics Association,International Conference on Virtual Reality,2754954274.0
1688,Altaf Hossain,2300589394,"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Autoregressive–moving-average model,Computer science,Support vector machine,Neural network nn,Artificial intelligence,Financial time series prediction,Autoregressive conditional heteroskedasticity,Artificial neural network,Machine learning",Conference,"Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence,1136274694.0
